battery_id,cycle_index,Capacity,SoH_pct,ambient_temperature,cycle_position_norm,RUL_cycles,start_time
B0005,1,1.8564874208181572,100.0,24,0.005952380952380952,161,[2.0080e+03 4.0000e+00 2.0000e+00 1.5000e+01 2.5000e+01 4.1593e+01]
B0005,2,1.846327249719927,99.45272071416716,24,0.011904761904761904,160,[2.0080e+03 4.0000e+00 2.0000e+00 1.9000e+01 4.3000e+01 4.8406e+01]
B0005,3,1.835349194223408,98.86138595081707,24,0.017857142857142856,159,[2.008e+03 4.000e+00 3.000e+00 0.000e+00 1.000e+00 6.687e+00]
B0005,4,1.8352625275821128,98.85671763794174,24,0.023809523809523808,158,[2008.       4.       3.       4.      16.      37.375]
B0005,5,1.8346455082120416,98.82348178817772,24,0.02976190476190476,157,[2008.       4.       3.       8.      33.      25.703]
B0005,6,1.8356616600675493,98.87821697485944,24,0.03571428571428571,156,[2008.       4.       3.      12.      55.      10.687]
B0005,7,1.8351461429226603,98.85044855913478,24,0.041666666666666664,155,[2008.       4.       3.      17.      17.      16.015]
B0005,8,1.8257567905665535,98.34468955151549,24,0.047619047619047616,154,[2008.       4.       3.      21.      28.      14.718]
B0005,9,1.8247738529891333,98.29174345738106,24,0.05357142857142857,153,[2.0080e+03 4.0000e+00 4.0000e+00 1.0000e+00 3.8000e+01 1.5218e+01]
B0005,10,1.824613268496936,98.28309354731991,24,0.05952380952380952,152,[2008.       4.       4.       5.      48.       8.609]
B0005,11,1.8246195526864504,98.28343204622078,24,0.06547619047619048,151,[2008.       4.       4.       9.      57.      19.765]
B0005,12,1.814201935767392,97.72228539894282,24,0.07142857142857142,150,[2008.       4.       4.      17.      56.      27.609]
B0005,13,1.8137521577549052,97.69805803238793,24,0.07738095238095238,149,[2.0080e+03 4.0000e+00 4.0000e+00 2.2000e+01 1.0000e+00 5.4671e+01]
B0005,14,1.8134404914735824,97.68127007692819,24,0.08333333333333333,148,[2.0080e+03 4.0000e+00 5.0000e+00 2.0000e+00 2.0000e+01 2.6703e+01]
B0005,15,1.8025980036306504,97.09723768751648,24,0.08928571428571429,147,[2.008e+03 4.000e+00 5.000e+00 6.000e+00 2.500e+01 1.890e+00]
B0005,16,1.80210690024615,97.07078432300708,24,0.09523809523809523,146,[2008.       4.       5.      10.      30.      32.312]
B0005,17,1.802579500826209,97.09624103091468,24,0.10119047619047619,145,[2008.       4.       5.      14.      34.      41.468]
B0005,18,1.8030683142834096,97.12257104811377,24,0.10714285714285714,144,[2008.       4.       5.      18.      39.      25.218]
B0005,19,1.802777624719604,97.1069130069902,24,0.1130952380952381,143,[2008.       4.       5.      22.      46.      35.484]
B0005,20,1.8470259949329195,99.4903587398902,24,0.11904761904761904,142,[2008.       4.      18.      21.      10.      19.796]
B0005,21,1.847417311283644,99.51143705942721,24,0.125,141,[2008    4   19    2   29    9]
B0005,22,1.8361774213478947,98.90599854098059,24,0.13095238095238096,140,[2008.       4.      19.       7.      47.      15.703]
B0005,23,1.825780747577624,98.34597999985365,24,0.13690476190476192,139,[2.0080e+03 4.0000e+00 1.9000e+01 1.3000e+01 1.0000e+00 4.2562e+01]
B0005,24,1.8251136435078368,98.31004632950898,24,0.14285714285714285,138,[2008.       4.      19.      18.      27.      29.828]
B0005,25,1.825581504220376,98.33524772367372,24,0.1488095238095238,137,[2008.       4.      19.      23.      41.      55.687]
B0005,26,1.814031127508391,97.7130847840027,24,0.15476190476190477,136,[2008.       4.      20.       4.      54.      41.734]
B0005,27,1.8147691941158937,97.75284086310275,24,0.16071428571428573,135,[2008.       4.      20.      10.      16.      28.859]
B0005,28,1.813969388710352,97.70975921350077,24,0.16666666666666666,134,[2008.       4.      20.      15.      37.       5.281]
B0005,29,1.802765665167823,97.10626880376819,24,0.17261904761904762,133,[2008.       4.      20.      20.      50.      38.921]
B0005,30,1.804077040117352,97.17690623092356,24,0.17857142857142858,132,[2.008e+03 4.000e+00 2.100e+01 2.000e+00 1.500e+01 2.921e+00]
B0005,31,1.8518025516704488,99.74764875349149,24,0.18452380952380953,131,[2008.       4.      22.      15.      33.      49.875]
B0005,32,1.8307038456739428,98.61116348782738,24,0.19047619047619047,130,[2008.       4.      22.      20.      26.      18.921]
B0005,33,1.8199041089501269,98.02943389447218,24,0.19642857142857142,129,[2.0080e+03 4.0000e+00 2.3000e+01 1.0000e+00 1.8000e+01 1.1796e+01]
B0005,34,1.809307963702852,97.45867078945716,24,0.20238095238095238,128,[2008.       4.      23.       6.      18.      19.921]
B0005,35,1.80460990458052,97.20560906279803,24,0.20833333333333334,127,[2.008e+03 4.000e+00 2.300e+01 1.100e+01 8.000e+00 3.120e-01]
B0005,36,1.7993770651972192,96.92374130950107,24,0.21428571428571427,126,[2008.       4.      23.      16.       6.      25.171]
B0005,37,1.7884432335370462,96.3347886703631,24,0.22023809523809523,125,[2.0080e+03 4.0000e+00 2.3000e+01 2.1000e+01 2.0000e+00 5.8296e+01]
B0005,38,1.7829230484252725,96.03744299218226,24,0.2261904761904762,124,[2.008e+03 4.000e+00 2.400e+01 1.000e+00 5.100e+01 3.389e+01]
B0005,39,1.7730337158018288,95.50475246530083,24,0.23214285714285715,123,[2.008e+03 4.000e+00 2.400e+01 6.000e+00 5.000e+01 3.100e-02]
B0005,40,1.773037755078937,95.50497004162604,24,0.23809523809523808,122,[2008.       4.      24.      11.      49.      24.281]
B0005,41,1.7678721106662054,95.22672175646098,24,0.24404761904761904,121,[2008.       4.      24.      16.      45.      56.015]
B0005,42,1.762315070409309,94.92739086983167,24,0.25,120,[2008.       4.      24.      21.      38.      11.078]
B0005,43,1.7676172924938447,95.21299593373236,24,0.25595238095238093,119,[2008.       4.      25.      12.       3.      44.093]
B0005,44,1.762668359743147,94.9464208578551,24,0.2619047619047619,118,[2008.       4.      25.      20.       3.      55.921]
B0005,45,1.7517304870664143,94.35725054869609,24,0.26785714285714285,117,[2.0080e+03 4.0000e+00 2.6000e+01 1.0000e+00 4.0000e+00 3.5718e+01]
B0005,46,1.7418496047960008,93.82501520146927,24,0.27380952380952384,116,[2008.      4.     26.      5.     57.     35.14]
B0005,47,1.7360913511847138,93.51484592444021,24,0.27976190476190477,115,[2008.       4.      26.      10.      58.      25.843]
B0005,48,1.7936240148573608,96.61385230754257,24,0.2857142857142857,114,[2008.       4.      29.      12.      15.      56.953]
B0005,49,1.7831890223273277,96.0517697201241,24,0.2916666666666667,113,[2008.       4.      29.      17.       5.      27.781]
B0005,50,1.7673642076278957,95.19936347583842,24,0.2976190476190476,112,[2008.      4.     29.     22.      0.      4.75]
B0005,51,1.7570177850353066,94.64205172265513,24,0.30357142857142855,111,[2.0080e+03 4.0000e+00 3.0000e+01 2.0000e+00 4.3000e+01 5.5312e+01]
B0005,52,1.7468706179837907,94.09547290193552,24,0.30952380952380953,110,[2008.       4.      30.       7.      41.      42.578]
B0005,53,1.7417172507457144,93.81788592880078,24,0.31547619047619047,109,[2008.       4.      30.      12.      28.      49.265]
B0005,54,1.7364225056478186,93.53268361401416,24,0.32142857142857145,108,[2008.      4.     30.     17.     20.     16.14]
B0005,55,1.7263217239235826,92.98860334657101,24,0.3273809523809524,107,[2008.       4.      30.      22.      14.      54.062]
B0005,56,1.7158065389330133,92.42220117908766,24,0.3333333333333333,106,[2.008e+03 5.000e+00 1.000e+00 3.000e+00 1.500e+01 3.314e+01]
B0005,57,1.710533351135192,92.1381600518121,24,0.3392857142857143,105,[2.008e+03 5.000e+00 1.000e+00 8.000e+00 1.600e+01 3.343e+00]
B0005,58,1.706014499648521,91.89475137389714,24,0.34523809523809523,104,[2.0080e+03 5.0000e+00 1.0000e+00 1.3000e+01 1.4000e+01 2.4875e+01]
B0005,59,1.7003110272642588,91.587532896664,24,0.35119047619047616,103,[2.0080e+03 5.0000e+00 1.0000e+00 1.8000e+01 1.1000e+01 1.0984e+01]
